time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,2,2,24.0,3.0
2024-09-03 00:00:00+00:00,4,3,7.0,4.0
2024-09-04 00:00:00+00:00,2,2,,
2024-09-05 00:00:00+00:00,4,2,45.0,3.0
2024-09-06 00:00:00+00:00,10,4,1.0,1.0
2024-09-07 00:00:00+00:00,3,1,2.0,2.0
2024-09-08 00:00:00+00:00,3,2,,
2024-09-09 00:00:00+00:00,4,3,23.0,9.0
2024-09-10 00:00:00+00:00,2,2,16.0,4.0
2024-09-11 00:00:00+00:00,1,1,39.0,5.0
2024-09-12 00:00:00+00:00,3,1,24.0,2.0
2024-09-13 00:00:00+00:00,3,1,3.0,1.0
