time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-22 00:00:00+00:00,8,5,13,7
2025-03-23 00:00:00+00:00,6,5,22,4
2025-03-24 00:00:00+00:00,8,6,8,2
2025-03-25 00:00:00+00:00,5,2,14,4
2025-03-26 00:00:00+00:00,5,3,13,4
2025-03-27 00:00:00+00:00,6,3,37,5
2025-03-28 00:00:00+00:00,3,3,34,6
2025-03-29 00:00:00+00:00,8,6,18,3
2025-03-30 00:00:00+00:00,1,1,55,6
2025-03-31 00:00:00+00:00,2,2,62,6
2025-04-01 00:00:00+00:00,38,10,134,4
2025-04-02 00:00:00+00:00,18,4,27,3
2025-04-03 00:00:00+00:00,5,5,12,4
2025-04-04 00:00:00+00:00,2,2,70,6
