time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,4,4,15.0,7.0
2025-09-24 00:00:00+00:00,18,7,30.0,3.0
2025-09-25 00:00:00+00:00,2,2,9.0,1.0
2025-09-26 00:00:00+00:00,9,4,12.0,6.0
2025-09-27 00:00:00+00:00,4,3,3.0,3.0
2025-09-28 00:00:00+00:00,5,4,2.0,2.0
2025-09-29 00:00:00+00:00,7,4,12.0,2.0
2025-09-30 00:00:00+00:00,6,4,4.0,4.0
2025-10-01 00:00:00+00:00,4,1,7.0,3.0
2025-10-02 00:00:00+00:00,1,1,8.0,5.0
2025-10-03 00:00:00+00:00,3,2,7.0,1.0
2025-10-04 00:00:00+00:00,2,1,4.0,3.0
2025-10-05 00:00:00+00:00,2,1,,
2025-10-06 00:00:00+00:00,4,2,8.0,2.0
